ticker,name,per,pbr,roe,ev_ebitda,intrinsic_value,mos_pct,dcf_undervalued,price,rsi,price_above_sma50,price_above_sma200,macd_positive,rsi_healthy,golden_cross,score
005380.KS,현대차,13.052182,,0.08361,20.185,,,,674000.0,81.6,True,True,True,False,False,7
WDC,WDC,26.461685,13.373178,0.41126,,189.86,-47.3,False,279.7,48.8,True,True,False,True,False,7
051910.KS,LG화학,19.422026,,-0.020550001,8.508,-88638.88,,False,417500.0,81.0,True,True,True,False,False,7
MU,MU,39.198666,7.8958755,0.22554001,20.972,4.58,-8897.4,False,412.37,55.9,True,True,False,True,False,7
316140.KS,우리금융,7.4316616,,0.08796,,,,,36000.0,67.2,True,True,False,True,False,7
032830.KS,삼성생명,16.244738,,0.04763,-38.49,,,,230000.0,65.2,True,True,True,True,False,7
086790.KS,하나금융지주,7.3557997,,0.09048,,,,,121800.0,65.2,True,True,False,True,False,7
GILD,GILD,21.969025,8.142459,0.40655,13.772,87.44,-70.3,False,148.95,45.4,True,True,False,True,False,7
GM,GM,24.070335,1.1641768,0.04318,10.046,41.36,-90.3,False,78.71,35.3,False,True,False,True,False,6
017670.KS,SK텔레콤,13.646026,,0.030269999,,9189.5,-768.4,False,79800.0,52.6,True,True,False,True,False,6
BIIB,BIIB,21.822527,1.5423955,0.07394,8.6,203.56,5.8,False,191.82,38.5,True,True,False,True,False,6
096770.KS,SK이노베이션,21.876707,,-0.06495,24.316,,,,127700.0,64.2,True,True,True,True,False,6
003670.KS,포스코퓨처엠,187.39355,,0.00428,109.526,,,,247000.0,58.8,True,True,True,True,False,6
028260.KS,삼성물산,20.644955,,0.06932,15.083,166593.77,-110.4,False,350500.0,62.1,True,True,True,True,False,6
SLB,SLB,21.84681,2.9404354,0.13904001,11.146,21.53,-138.5,False,51.34,56.1,True,True,False,True,False,6
C,C,15.763949,1.0016727,0.06831,,,,,110.19,34.2,False,True,False,True,False,6
HAL,HAL,24.0,2.8735633,0.12274,8.81,34.88,-3.2,False,36.0,57.1,True,True,False,True,False,6
196170.KQ,알테오젠,65.07083,,0.32167998,189.391,43734.86,-831.8,False,407500.0,54.4,False,False,True,True,False,6
XOM,XOM,22.795216,2.456943,0.110810004,11.492,38.9,-292.1,False,152.5,56.7,True,True,False,True,False,6
CVX,CVX,28.168928,1.9835378,0.07231,11.13,89.63,-108.4,False,186.76,67.4,True,True,False,True,False,6
DELL,DELL,19.796791,-39.989197,,,,,,148.08,70.2,True,True,True,False,False,6
MS,MS,16.308521,2.5868847,0.15614,,,,,166.51,38.6,False,True,False,True,False,6
357780.KQ,솔브레인,18.569403,,0.06859,17.583,,,,445500.0,57.7,True,True,False,True,False,5
006400.KS,삼성SDI,32.159958,,-0.03876,454.095,,,,466000.0,70.6,True,True,True,False,False,5
035420.KS,NAVER,16.270126,,,,,,,254500.0,42.8,True,True,False,True,False,5
BAC,BAC,13.078741,1.2962722,0.1019,,,,,49.83,23.7,False,False,False,False,False,5
KR,KR,60.389378,5.53088,0.07997,8.892,33.24,-105.3,False,68.24,52.7,True,True,False,True,False,5
068270.KS,셀트리온,34.395744,,0.04364,45.601,20826.26,-1045.2,False,238500.0,71.1,True,True,True,False,False,5
009150.KS,삼성전기,24.620922,,0.07784,18.867,,,,448500.0,78.8,True,True,True,False,False,5
GS,GS,16.74922,2.4052866,0.13861,,,,,859.57,36.3,False,True,False,True,False,5
INTC,INTC,46.01586,1.9930955,0.00022,19.757,,,,45.61,33.1,True,True,False,True,False,5
VLO,VLO,27.033024,2.578499,0.08299,9.355,178.31,-14.8,False,204.64,52.8,True,True,False,True,False,5
SCHW,SCHW,20.473118,3.9236696,0.18101999,,,,,95.2,33.1,False,True,False,True,False,5
WFC,WFC,13.011181,1.5311877,0.11732,,,,,81.45,24.9,False,False,False,False,False,4
BLK,BLK,30.11983,2.970746,0.10686,17.955,,,,1063.23,51.7,False,False,True,True,False,4
STX,STX,46.083614,193.8403,,32.502,65.69,-520.8,False,407.84,43.4,True,True,False,True,False,4
090430.KS,아모레퍼시픽,23.144123,,0.03306,15.735,142625.34,-6.2,False,151400.0,61.6,True,True,False,True,False,4
LUV,LUV,62.354427,3.1821706,0.04812,15.67,,,,49.26,34.8,True,True,False,True,False,4
AAL,AAL,76.88235,-2.3157334,,10.001,,,,13.07,31.7,False,True,False,True,False,4
247540.KQ,에코프로비엠,214.8322,,0.03548,108.385,,,,221500.0,49.5,True,True,False,True,False,4
AXP,AXP,20.084524,6.3304367,0.33992,,,,,308.9,27.7,False,False,False,False,False,3
LOW,LOW,21.883375,-14.966907,,15.53,81.67,-223.9,False,264.57,37.6,False,True,False,True,False,3
NKE,NKE,36.36257,6.5328856,0.17950001,24.944,33.23,-87.1,False,62.18,44.2,False,False,False,True,False,3
IBM,IBM,21.543499,6.890311,0.35158002,16.405,171.84,-39.8,False,240.21,23.3,False,False,False,False,False,3
086900.KQ,메디톡스,20.833672,,0.04377,22.098,72502.66,-77.6,False,128800.0,41.9,True,False,False,True,False,2
