ticker,name,per,pbr,roe,ev_ebitda,intrinsic_value,mos_pct,dcf_undervalued,price,sma50,sma200,rsi,macd_hist,price_above_sma50,price_above_sma200,macd_positive,rsi_healthy,golden_cross,score
BRK-B,Berkshire Hathaway Inc.,16.15323,0.0010405454,0.1017,-2.421,794.52,36.4,True,504.95,495.48,492.46,46.5,0.4355,True,True,True,True,False,13
BAC,Bank of America Corporation,13.078741,1.2962722,0.1019,,,,,49.83,53.96,50.07,23.7,-0.319,False,False,False,False,False,2
